,Tweet,Polarity
2882, there is no ocean in saudi arabia maybe ocean of oil but its not crystal clear #oil #ksa,0
2883, everything i read about this monumental edifice to the hubris of one man suggests that it is nothing more than a hellish dystopia,N
2884, sindalah these jobs are just for pakistani bengali and indians who paid  dollar per day i think,0
2885, sindalah it feels like you're into the story,P
2886, sindalah i hope it sinks (without human casualties),N
2887," sindalah have a chance to be the poorest rich lololol 
you are rich by what you give not by what you own
there is one african footballer that build a school a mosque a football field and some others very useful things this guy is so much richer than yacht owners ",0
2888, stop giving  to elonmusk,0
2889," you might add up something similar at #theline project i hope it is already a part of the designs 
i am really impressed about your recent innovative projects",P
2890, its all a ponzi scheme,N
2891," one good ad deserves another
",U
2892," groovy 
",P
2893, im so sorry for them and i feel so bad i didnt understand till i woke up seen the news  i tweeted something dumb as i was drunk and didnt no what really happened till i woke i feel sorry for the police and there really young,U
2894, elons twitter supports hate speech your ad support musky so i will block all twitter ads,0
2895, sindalah a new era where you kill journalists you dont like got it,0
2896, sindalah amazing ,P
2897, seamless bonesawing,0
2898, shut your ass up you don't even fully exist yet,N
2899, will alcohol be allowed or will it be banned,U
2900, it doesn't exist,N
2901, sindalah great way to fuck up an island ecosystem,N
2902," sindalah where luxury is a tribute to nature 
cazzo",N
2903, bring your hands just don't expect to leave with them,0
2904, sindalah elite paradise wef  club club of rome builderberg you get the picture,N
2905, it's interesting neom is advertising on twitter right now,N
2906, sindalah a new world concreted over just stop it's horrible,N
2907, it sounds like you are describing new zealand alaska and/or argentina,U
2908, sindalah are bone saws included or is that extra,0
2909, sindalah the best lava lamps under   ,0
2910, sindalah you guys are soon going to be the only advertisers left on twitter ,U
2911, sindalah bit of a bold move putting all of the worlds biggest (unt on one little island don't you think quite an opportunity for someone who wants to do a lot of good with not much gunpowder,N
2912," sindalah yeee

wasted money",N
2913, will neom have its own chop square for public executions,0
2914, sindalah eat the rich,N
2915, how's the  mile long prison going,0
2916, sindalah at this point an asteroid strike is probably our best option,N
2917, fantastic,P
2918, sindalah cringe,N
2919, sindalah i cannot step foot in your lands: as a sorcerer i would fear for my life,0
2920, sindalah is there beer,U
2921, as did the reporter miguel almeduer,0
2922, sindalah aren't you afraid of rising sea levels,N
2923, illegality centre in it in,N
2924, sindalah wer um gottes/allahs willen will dorthin,N
2925, sindalah just an fyi of you get a visit or call from paul evans ,U
2926, sindalah shame this high-end homosexual just died he had a fantastic yacht ,0
2927, its good you have a marketing budget before you have any buildings,N
2928, thanks so much i was lucky enough to have a tour of some places in riyadh recently  to hear from he shihana alazzaz and he nabeel al-amudi  found it very useful if something becomes available do let me know ,P
2929, sindalah even homosexual men that own yachts and shag their nephews ,0
2930, sindalah why is this on my timeline i can't even afford this ,N
2931, sindalah the al rasheed descendants will love to visit,0
2932, is it possible to visit neom for a tour ahead of opening,P
2933, sindalah richquack czbinance nice ads ,P
2934, are you guys going to chop media representatives into pieces khashoggi style,0
2935, doesnt sound suspicious at all ey,N
2936, sindalah can you just imagine sharing a tiny man-made island with the kind of people who would and could afford to spend time and money on this dystopian hell,N
2937, pls send send this xto xxto check for me please check and send x,U
2938, awesome,P
2939, where  tell us more,P
2940, sindalah flood insurance rates ,U
2941, tinsel-washing,N
2942, sindalah nothing but a worthless try knowing dajjal won't succeed still you making efforts for his settlement,N
2943, please get this petro-state theocracy propaganda out of my feed,N
2944, sindalah looks like it'd be an amazing destination,P
2945, sindalah fuck neom,N
2946, sindalah fantasy island - but for axe murders,0
2947, sindalah where will gay families live,0
2948, sindalah do you pronounce it like neon or do you pronounce it like nom or do you pronounce it like nay-om,U
2949, sindalah you guys hiring for an entry level chemical engineering or a water plant operator,P
2950, the second word in economics,N
2951, maybe soon we will have some noodle westerns you get it,N
2952, sindalah  km from monaco  this changes everything,P
2953, you sit on a throne of lies,N
2954, sindalah i cant imagine a most boring place to be tbh,N
